"scientificName","taxonID","taxonKey","continent","decimalLatitude","decimalLongitude","year"
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-17.090833,-39.324444,2024
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-19.410833,-39.714167,2022
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-19.410833,-39.714167,2022
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-19.652222,-39.830833,2019
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-19.652222,-39.830833,2019
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-19.652222,-39.830833,2019
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-19.652222,-39.830833,2019
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-20.099444,-40.436389,2019
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-20.099444,-40.436389,2019
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-15.169167,-39.062222,2017
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-19.0025,-43.615556,2015
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-16.218333,-38.9925,2014
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-11.8,-37.6,2014
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-11.8,-37.6,2014
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-16.559722,-39.599444,2014
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-13.5275,-40.44656,2012
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-18.233611,-43.583611,2011
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-13.31349,-40.26359,2011
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-13.31349,-40.26359,2011
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-13.5275,-40.44656,2011
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-13.5275,-40.44656,2011
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-19.942683,-43.8961,2010
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-19.9425,-43.895833,2010
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-14.008889,-38.956389,2009
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-14.0089,-38.9564,2009
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-14.008889,-38.956389,2009
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-14.008889,-38.956389,2009
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-14.008889,-38.956389,2009
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-18.8,-39.7625,2007
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-18.8,-39.7625,2007
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-18.8,-39.7625,2007
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-12.185556,-38.4225,2007
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-12.185556,-38.4225,2007
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,NA,-18.133333,-38.416667,2006
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,NA,-18.133333,-38.416667,2006
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-20.150556,-40.448611,2005
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-15.154444,-39.531111,2004
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-11.105,-37.513053,2003
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-12.540556,-38.380556,2001
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-16.266667,-39.016667,1999
"Abarema jupunba (Willd.) Britton & Killip",NA,2977854,"SOUTH_AMERICA",-12.01,-37.733333,1996
