"scientificName","taxonID","taxonKey","continent","decimalLatitude","decimalLongitude","year"
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","50052106",2977897,"SOUTH_AMERICA",-10.421944,-75.315556,2011
"Abarema macradenia (Pittier) Barneby & J.W.Grimes",NA,2977897,"SOUTH_AMERICA",-0.533333,-72.1,1992
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","50052106",2977897,"SOUTH_AMERICA",-1.35,-79.25,1987
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","50052106",2977897,"SOUTH_AMERICA",-12.81666,-69.71666,1985
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","50052106",2977897,"SOUTH_AMERICA",-0.58333,-79.36666,1980
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","50052106",2977897,"SOUTH_AMERICA",-1.166667,-79.5,1979
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","50052106",2977897,"SOUTH_AMERICA",-1.166667,-79.5,1979
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","50052106",2977897,"SOUTH_AMERICA",-1.166667,-79.5,1979
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","50052106",2977897,"SOUTH_AMERICA",-1.26666,-79.7,1979
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","50052106",2977897,"SOUTH_AMERICA",-1.26666,-79.7,1979
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","50052106",2977897,"SOUTH_AMERICA",-1.26666,-79.7,1979
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","50052106",2977897,"SOUTH_AMERICA",-0.58333,-79.36666,1976
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","50052106",2977897,"SOUTH_AMERICA",-0.58333,-79.36666,1974
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","50052106",2977897,"SOUTH_AMERICA",-0.58333,-79.36666,1974
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","50052106",2977897,"SOUTH_AMERICA",-0.58333,-79.36666,1974
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","50052106",2977897,"SOUTH_AMERICA",-0.58333,-79.36666,1972
"Abarema macradenia (Pittier) Barneby & J.W.Grimes",NA,2977897,"NORTH_AMERICA",9.699861,-84.392222,2018
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","50052106",2977897,"NORTH_AMERICA",9.699861,-84.392222,2018
"Abarema macradenia (Pittier) Barneby & J.W.Grimes",NA,2977897,"NORTH_AMERICA",9.69558,-84.38064,2012
"Abarema macradenia (Pittier) Barneby & J.W.Grimes",NA,2977897,"NORTH_AMERICA",9.695583,-84.380639,2012
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","22979",2977897,"NORTH_AMERICA",9.695583,-84.380639,2012
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","22979",2977897,"NORTH_AMERICA",9.695583,-84.380639,2012
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","22979",2977897,"NORTH_AMERICA",9.695583,-84.380639,2012
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","22979",2977897,"NORTH_AMERICA",9.695583,-84.380639,2012
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","50052106",2977897,"NORTH_AMERICA",9.695583,-84.380639,2012
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","339134",2977897,"NORTH_AMERICA",8.40576,-83.30777,2010
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","22979",2977897,"NORTH_AMERICA",8.405833,-83.335556,2010
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","22979",2977897,"NORTH_AMERICA",8.405833,-83.335556,2010
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","22979",2977897,"NORTH_AMERICA",8.405833,-83.335556,2010
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","50052106",2977897,"NORTH_AMERICA",8.405833,-83.335555,2010
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","50052106",2977897,"NORTH_AMERICA",8.405833,-83.335555,2010
"Abarema macradenia (Pittier) Barneby & J.W.Grimes",NA,2977897,"NORTH_AMERICA",8.405833,-83.335556,2010
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","339134",2977897,"NORTH_AMERICA",9.15478,-79.85142,2009
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","22979",2977897,"NORTH_AMERICA",8.533333,-83.433333,2000
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","22979",2977897,"NORTH_AMERICA",8.536614,-83.425512,2000
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","22979",2977897,"NORTH_AMERICA",8.536614,-83.425512,2000
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","50052106",2977897,"NORTH_AMERICA",8.536614,-83.425512,2000
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","50052106",2977897,"NORTH_AMERICA",8.536614,-83.425512,2000
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","22979",2977897,"NORTH_AMERICA",8.654167,-83.168056,2000
"Abarema macradenia (Pittier) Barneby & J.W.Grimes",NA,2977897,"NORTH_AMERICA",8.683333,-83.216667,1998
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","22979",2977897,"NORTH_AMERICA",8.983333,-83.466667,1997
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","22979",2977897,"NORTH_AMERICA",8.983333,-83.466667,1997
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","22979",2977897,"NORTH_AMERICA",8.983333,-83.466667,1997
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","50052106",2977897,"NORTH_AMERICA",8.98,-83.46,1997
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","50052106",2977897,"NORTH_AMERICA",8.98,-83.46,1997
"Abarema macradenia (Pittier) Barneby & J.W.Grimes",NA,2977897,"NORTH_AMERICA",9.71,-84.35,1997
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","22979",2977897,"NORTH_AMERICA",9.713889,-84.355556,1997
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","22979",2977897,"NORTH_AMERICA",9.713889,-84.355556,1997
