"scientificName","taxonID","taxonKey","continent","decimalLatitude","decimalLongitude","year"
"Adenanthera pavonina L.","158007",2951846,"OCEANIA",-19.993331,-158.095629,2024
"Adenanthera pavonina L.","158007",2951846,"OCEANIA",-17.580577,-149.533727,2024
"Adenanthera pavonina L.",NA,2951846,"OCEANIA",-19.098013,-169.924597,2024
"Adenanthera pavonina L.","158007",2951846,"OCEANIA",-18.958817,-169.825291,2024
"Adenanthera pavonina L.","158007",2951846,"OCEANIA",-17.547147,-149.805725,2024
"Adenanthera pavonina L.","158007",2951846,"OCEANIA",-17.547245,-149.805663,2024
"Adenanthera pavonina L.","158007",2951846,"OCEANIA",-13.526216,-172.74711,2024
"Adenanthera pavonina L.","158007",2951846,"OCEANIA",-18.928281,-159.758361,2024
"Adenanthera pavonina L.","158007",2951846,"OCEANIA",-21.248558,-159.742438,2023
"Adenanthera pavonina L.","447345",2951846,"OCEANIA",-16.83291,-151.45889,2022
"Adenanthera pavonina L.","447345",2951846,"OCEANIA",-16.83291,-151.45889,2022
"Adenanthera pavonina L.","447345",2951846,"OCEANIA",-16.83291,-151.45889,2022
"Adenanthera pavonina L.",NA,2951846,"OCEANIA",-17.561639,-149.539475,2022
"Adenanthera pavonina L.",NA,2951846,"OCEANIA",-17.756874,-149.365777,2022
"Adenanthera pavonina L.","158007",2951846,"OCEANIA",-13.865441,-171.769081,2022
"Adenanthera pavonina L.","158007",2951846,"OCEANIA",-13.868092,-171.772957,2022
"Adenanthera pavonina L.","158007",2951846,"OCEANIA",-13.787306,-172.253258,2022
"Adenanthera pavonina L.","447345",2951846,"OCEANIA",-16.83291,-151.45889,2022
"Adenanthera pavonina L.",NA,2951846,"OCEANIA",-13.340447,-176.189538,2020
"Adenanthera pavonina L.","158007",2951846,"OCEANIA",-14.042635,-171.750943,2019
"Adenanthera pavonina L.","158007",2951846,"OCEANIA",-13.524449,-172.746248,2019
"Adenanthera pavonina L.","158007",2951846,"OCEANIA",-19.106825,-169.811631,2018
"Adenanthera pavonina L.","158007",2951846,"OCEANIA",-14.225117,-169.432182,2016
"Adenanthera pavonina L.","158007",2951846,"OCEANIA",-21.212901,-159.782306,2016
"Adenanthera pavonina L.",NA,2951846,"OCEANIA",-21.232544,-175.156677,2014
"Adenanthera pavonina L.","158007",2951846,"OCEANIA",-19.993917,-158.116296,2014
"Adenanthera pavonina L.","158007",2951846,"OCEANIA",-13.285395,-176.196479,2010
"Adenanthera pavonina L.",NA,2951846,"OCEANIA",-17.5741,-149.815,2009
"Adenanthera pavonina L.",NA,2951846,"OCEANIA",-19.083333,-169.9,2005
"Adenanthera pavonina L.",NA,2951846,"OCEANIA",-9.3803,-140.054,2003
"Adenanthera pavonina L.",NA,2951846,"OCEANIA",-13.755,-172.28694,2003
"Adenanthera pavonina L.",NA,2951846,"OCEANIA",-13.8575,-171.76333,1992
"Adenanthera pavonina L.",NA,2951846,"OCEANIA",-21.916667,-157.958333,1992
"Adenanthera pavonina L.",NA,2951846,"OCEANIA",-13.6114,-172.68778,1991
"Adenanthera pavonina L.",NA,2951846,"OCEANIA",-13.5744,-172.20889,1991
