"scientificName","taxonID","taxonKey","continent","decimalLatitude","decimalLongitude","year"
"Afzelia xylocarpa (Kurz) Craib","141988",5358297,"ASIA",15.00772,101.194287,2023
"Afzelia xylocarpa (Kurz) Craib","141988",5358297,"ASIA",12.167214,99.682764,2023
"Afzelia xylocarpa (Kurz) Craib","141988",5358297,"ASIA",14.73664,100.814519,2023
"Afzelia xylocarpa (Kurz) Craib","141988",5358297,"ASIA",15.472717,100.902429,2023
"Afzelia xylocarpa (Kurz) Craib","141988",5358297,"ASIA",18.302193,99.544553,2023
"Afzelia xylocarpa (Kurz) Craib","141988",5358297,"ASIA",14.627569,100.548427,2023
"Afzelia xylocarpa (Kurz) Craib","141988",5358297,"ASIA",17.698507,100.514108,2022
"Afzelia xylocarpa (Kurz) Craib","141988",5358297,"ASIA",12.066272,99.621705,2022
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",22,100.8,2020
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",22.01,100.79,2020
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",22,100.8,2020
"Afzelia xylocarpa (Kurz) Craib","141988",5358297,"ASIA",18.806878,99.155248,2019
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",15.307,99.456,2017
"Afzelia xylocarpa (Kurz) Craib","141988",5358297,"ASIA",20.153251,100.532261,2014
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",18.79572,99.96317,2009
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",18.159722,99.472778,2009
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",14.741111,101.002778,2009
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",16.166667,99.2,2009
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",14.233333,99.616667,2009
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",18.25,100.020556,2009
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",19.075,100.319444,2009
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",18.8,99.428611,2009
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",13.78333,100.3,2006
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",14.79083,100.84056,2004
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",18.73333,99.56667,2001
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",18.78333,98.98333,2000
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",18.78333,98.98333,2000
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",16.033333,99.233333,1999
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",16.1,99.38333,1999
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",19.0667,99.75,1997
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",18.91667,99.28333,1995
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",18.91667,99.28333,1989
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",18.51667,98.6,1988
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",14.5,101,1987
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",13.25358,101.06275,1975
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",15.416,99.083,1970
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",15.416667,99.083333,1970
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",15.41667,99.08333,1970
"Afzelia xylocarpa (Kurz) Craib","141988",5358297,"ASIA",13.658887,101.356654,2024
"Afzelia xylocarpa (Kurz) Craib","141988",5358297,"ASIA",12.834274,101.460036,2024
"Afzelia xylocarpa (Kurz) Craib","141988",5358297,"ASIA",14.994645,102.076311,2023
"Afzelia xylocarpa (Kurz) Craib","141988",5358297,"ASIA",14.951814,102.199954,2023
"Afzelia xylocarpa (Kurz) Craib","141988",5358297,"ASIA",17.540897,104.634128,2023
"Afzelia xylocarpa (Kurz) Craib","141988",5358297,"ASIA",14.58314,101.399045,2023
"Afzelia xylocarpa (Kurz) Craib","141988",5358297,"ASIA",14.460323,104.846286,2022
"Afzelia xylocarpa (Kurz) Craib","141988",5358297,"ASIA",17.512635,104.804584,2021
"Afzelia xylocarpa (Kurz) Craib","141988",5358297,"ASIA",17.498221,102.835336,2021
"Afzelia xylocarpa (Kurz) Craib","141988",5358297,"ASIA",19.919337,102.129379,2020
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",14.866,101.584,2019
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",18.343,103.671,2019
"Afzelia xylocarpa (Kurz) Craib","141988",5358297,"ASIA",17.928216,102.687077,2019
"Afzelia xylocarpa (Kurz) Craib","141988",5358297,"ASIA",12.571308,107.025561,2019
"Afzelia xylocarpa (Kurz) Craib","141988",5358297,"ASIA",17.677658,102.368079,2018
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",17.401389,102.799444,2018
"Afzelia xylocarpa (Kurz) Craib","141988",5358297,"ASIA",16.580034,102.970757,2017
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",11.474642,107.362518,2016
"Afzelia xylocarpa (Kurz) Craib","141988",5358297,"ASIA",15.926399,102.020294,2016
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",12.205,107.0225,2015
"Afzelia xylocarpa (Kurz) Craib","141988",5358297,"ASIA",16.18235,101.926559,2015
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",16.4625,102.82,2015
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",17.095,103.96,2014
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",17.9795,104.13914,2013
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",17.9795,104.13914,2013
"Afzelia xylocarpa (Kurz) Craib","354799",5358297,"ASIA",12.119959,108.947666,2013
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",13.26523,105.36214,2011
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",17.03625,101.742333,2011
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",12.111389,108.998611,2010
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",14.389444,102.586667,2009
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",17.287778,102.053056,2009
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",17,104.133889,2009
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",14.75,101.716667,2009
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",14.866667,102.6425,2009
"Afzelia xylocarpa (Kurz) Craib","13050658",5358297,"ASIA",17.180278,106.489444,2008
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",13.50495,105.48676,2007
"Pahudia cochinchinensis Pierre",NA,2968184,"ASIA",13.42944,103.76361,2006
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",18.334167,102.515,2005
"Afzelia xylocarpa (Kurz) Craib","13050658",5358297,"ASIA",11.727222,109.190278,2004
"Afzelia xylocarpa (Kurz) Craib","13050658",5358297,"ASIA",11.727222,109.190278,2004
"Afzelia xylocarpa (Kurz) Craib","13050658",5358297,"ASIA",11.727222,109.190278,2004
"Afzelia xylocarpa (Kurz) Craib","13050658",5358297,"ASIA",11.727222,109.190278,2004
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",19.3,103.33,2003
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",13.565,102.172222,2003
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",18.1,102.66667,2002
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",18.1,102.66667,2002
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",14.818056,106.008611,1995
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",18.74,109.17,1981
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",18.74,109.17,1981
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",20.33,110.17,1974
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",20.33,110.17,1974
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",20.33,110.17,1974
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",21.92,110.85,1974
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",21.660629,109.207449,1973
"Afzelia xylocarpa (Kurz) Craib",NA,5358297,"ASIA",16.416,102.083,1972
