SORTER,Submitted_Name,Submitted_Author,Submitted_Genus,Submitted_Rank,Name_in_database,Author_in_database,Genus_in_database,Rank_in_database,ID_in_database,Name_set,Fuzzy,Score,name.dist,author.dist,New_name,New_author,New_ID,Family,Name_spLev,Accepted_SPNAME,NOTE
723,Abarema jupunba,NA,Abarema,2,Abarema jupunba,(Willd.) Britton & Killip,Abarema,2,ild-17547,1,FALSE,0.8,0,NA,NA,NA,NA,Leguminosae,NA,Abarema jupunba,
325,Abarema macradenia,NA,Abarema,2,Abarema macradenia,(Pittier) Barneby & J.W.Grimes,Abarema,2,ild-40625,1,FALSE,0.8,0,NA,NA,NA,NA,Leguminosae,NA,Abarema macradenia,
721,Acioa edulis,NA,Acioa,2,Acioa edulis,Prance,Acioa,2,kew-360154,1,FALSE,0.8,0,NA,NA,NA,NA,Chrysobalanaceae,NA,Acioa edulis,
196,Actinodaphne tadulingamii,NA,Actinodaphne,2,Actinodaphne tadulingamii,Gamble,Actinodaphne,2,kew-2620990,1,FALSE,0.8,0,NA,NA,NA,NA,Lauraceae,NA,Actinodaphne tadulingamii,
384,Adenanthera pavonina,NA,Adenanthera,2,Adenanthera pavonina,auct.,Adenanthera,2,ild-43360,1,FALSE,0.8,0,NA,NA,NA,NA,Leguminosae,NA,Adenanthera pavonina,Multiple results
843,Afzelia bipindensis,NA,Afzelia,2,Afzelia bipindensis,Harms,Afzelia,2,ild-686,1,FALSE,0.8,0,NA,NA,NA,NA,Leguminosae,NA,Afzelia bipindensis,
224,Afzelia xylocarpa,NA,Afzelia,2,Afzelia xylocarpa,(Kurz) Craib,Afzelia,2,ild-32631,1,FALSE,0.8,0,NA,NA,NA,NA,Leguminosae,NA,Afzelia xylocarpa,
778,Aglaia affinis,NA,Aglaia,2,Aglaia affinis,Merr.,Aglaia,2,kew-2626161,1,FALSE,0.8,0,NA,NA,NA,NA,Meliaceae,NA,Aglaia affinis,
606,Aglaia argentea,NA,Aglaia,2,Aglaia argentea,Blume,Aglaia,2,kew-2626182,1,FALSE,0.8,0,NA,NA,NA,NA,Meliaceae,NA,Aglaia argentea,
595,Aglaia aspera,NA,Aglaia,2,Aglaia aspera,Teijsm. & Binn.,Aglaia,2,kew-2626183,1,FALSE,0.8,0,NA,NA,NA,NA,Meliaceae,NA,Aglaia aspera,
